LECROYWP725Zi-A,67858,Waveform
Segments,1,SegmentSize,1002
Segment,TrigTime,TimeSinceSegment1
#1,01-Jan-2009 01:24:58,0                 
Time,Ampl
-1.06825e-008,-0.0157166
-1.06325e-008,-0.0229992
-1.05825e-008,-0.0265364
-1.05325e-008,-0.0349288
-1.04825e-008,-0.0303511
-1.04325e-008,-0.017936
-1.03825e-008,-0.0088501
-1.03325e-008,-0.00309337
-1.02825e-008,0.000998757
-1.02325e-008,0.00335693
-1.01825e-008,-0.00732422
-1.01325e-008,-0.0130116
-1.00825e-008,-0.00656128
-1.00325e-008,-0.00593706
-9.98254e-009,-0.00954368
-9.93254e-009,-0.010376
-9.88254e-009,-0.00350952
-9.83254e-009,0.00377308
-9.78254e-009,-0.00142878
-9.73254e-009,-0.00746294
-9.68254e-009,-0.00732422
-9.63254e-009,-0.00787908
-9.58254e-009,-0.00760165
-9.53254e-009,-0.00108199
-9.48254e-009,0.0039118
-9.43254e-009,0.00516025
-9.38254e-009,0.00564575
-9.33254e-009,-0.00448054
-9.28254e-009,-0.0207103
-9.23254e-009,-0.0209878
-9.18254e-009,-0.0122486
-9.13254e-009,-0.0100985
-9.08254e-009,-0.00822587
-9.03254e-009,-0.0096824
-8.98254e-009,-0.018699
-8.93254e-009,-0.0209878
-8.88254e-009,-0.019878
-8.83254e-009,-0.0122486
-8.78254e-009,-0.00239979
-8.73254e-009,0.00876687
-8.68254e-009,0.0022472
-8.63254e-009,-0.0164795
-8.58254e-009,-0.0214039
-8.53254e-009,-0.0224443
-8.48254e-009,-0.0204329
-8.43254e-009,-0.0123874
-8.38254e-009,-0.00559027
-8.33254e-009,-0.00614513
-8.28254e-009,-0.00607577
-8.23254e-009,-0.002053
-8.18254e-009,-0.00337081
-8.13254e-009,-0.00975175
-8.08254e-009,-0.00898881
-8.03254e-009,-0.00198364
-7.98254e-009,0.00148426
-7.93254e-009,-0.00392567
-7.88254e-009,-0.00989047
-7.83254e-009,-0.0125261
-7.78254e-009,-0.0257041
-7.73254e-009,-0.0268139
-7.68254e-009,-0.0245944
-7.63254e-009,-0.0303511
-7.58254e-009,-0.0359691
-7.53254e-009,-0.0470664
-7.48254e-009,-0.0549039
-7.43254e-009,-0.0465809
-7.38254e-009,-0.0239008
-7.33254e-009,0.00890558
-7.28254e-009,0.0176447
-7.23254e-009,0.00203913
-7.18254e-009,0.000582608
-7.13254e-009,-0.00309337
-7.08254e-009,-0.0118325
-7.03254e-009,-0.021612
-6.98254e-009,-0.0237621
-6.93254e-009,-0.0174505
-6.88254e-009,-0.00683871
-6.83254e-009,0.000998757
-6.78254e-009,-0.0108615
-6.73254e-009,-0.0157859
-6.68254e-009,-0.0063532
